20250099,INF1001
20250067,QUI1004
20250079,MAT1002
20250037,FIS1003
20250037,MAT1002
20250038,MAT1002
20250055,INF1001
20250088,FIS1003
20250051,INF1001
20250016,INF1001
20250010,MAT1002
20250045,FIS1003
20250073,QUI1004
20250010,QUI1004
20250010,FIS1003
20250028,QUI1004
20250098,MAT1002
20250022,INF1001
20250060,MAT1002
20250040,FIS1003
20250075,MAT1002
20250049,INF1001
20250028,MAT1002
20250052,FIS1003
20250012,MAT1002
20250054,FIS1003
20250044,INF1001
20250066,INF1001
20250050,MAT1002
20250061,INF1001
20250095,QUI1004
20250064,QUI1004
20250037,QUI1004
20250077,INF1001
20250017,FIS1003
20250013,FIS1003
20250002,INF1001
20250064,INF1001
20250001,MAT1002
20250033,QUI1004
20250006,MAT1002
20250089,FIS1003
20250089,MAT1002
20250057,MAT1002
20250008,QUI1004
20250093,INF1001
20250064,FIS1003
20250094,FIS1003
20250013,MAT1002
20250081,MAT1002
20250082,QUI1004
20250013,QUI1004
20250005,FIS1003
20250047,INF1001
20250065,FIS1003
20250080,QUI1004
20250061,QUI1004
20250042,QUI1004
20250009,INF1001
20250050,FIS1003
20250099,MAT1002
20250014,MAT1002
20250020,INF1001
20250097,INF1001
20250018,MAT1002
20250005,QUI1004
20250030,INF1001
20250020,QUI1004
20250002,MAT1002
20250053,INF1001
20250031,MAT1002
20250018,QUI1004
20250030,MAT1002
20250026,FIS1003
20250053,QUI1004
20250092,FIS1003
20250048,INF1001
20250049,QUI1004
20250053,MAT1002
20250058,INF1001
20250074,FIS1003
20250080,MAT1002
20250059,INF1001
20250048,QUI1004
20250079,FIS1003
20250020,MAT1002
